date,hm,ta,power demand(MW),holiday_name,weekday,weekend,spring,summer,autoum,winter,is_holiday_dummies
2019-01-01 0:00,59.70502646,-4.174162257,65388,New Year's Day,0,1,0,0,0,1,1
2019-01-01 1:00,60.09664903,-4.34994709,63045,New Year's Day,0,1,0,0,0,1,1
2019-01-01 2:00,61.85485009,-4.491992945,61036,New Year's Day,0,1,0,0,0,1,1
2019-01-01 3:00,63.02063492,-4.648324515,59834,New Year's Day,0,1,0,0,0,1,1
2019-01-01 4:00,63.78430335,-4.722354497,59491,New Year's Day,0,1,0,0,0,1,1
2019-01-01 5:00,64.33765432,-4.791904762,59868,New Year's Day,0,1,0,0,0,1,1
2019-01-01 6:00,66.10141093,-4.851164021,60204,New Year's Day,0,1,0,0,0,1,1
2019-01-01 7:00,65.62257496,-4.870194004,59546,New Year's Day,0,1,0,0,0,1,1
2019-01-01 8:00,65.57857143,-4.981931217,58727,New Year's Day,0,1,0,0,0,1,1
2019-01-01 9:00,63.85758377,-4.111375661,57884,New Year's Day,0,1,0,0,0,1,1
2019-01-01 10:00,58.45493827,-2.648068783,57870,New Year's Day,0,1,0,0,0,1,1
2019-01-01 11:00,56.51622575,-1.493227513,57599,New Year's Day,0,1,0,0,0,1,1
2019-01-01 12:00,59.41455026,-0.693483245,57449,New Year's Day,0,1,0,0,0,1,1
2019-01-01 13:00,60.50970018,-0.292504409,57538,New Year's Day,0,1,0,0,0,1,1
2019-01-01 14:00,61.63156966,-0.007363316,57928,New Year's Day,0,1,0,0,0,1,1
2019-01-01 15:00,61.06269841,0.098809524,58821,New Year's Day,0,1,0,0,0,1,1
2019-01-01 16:00,60.8015873,-0.150220459,60424,New Year's Day,0,1,0,0,0,1,1
2019-01-01 17:00,61.4547619,-0.757266314,63296,New Year's Day,0,1,0,0,0,1,1
2019-01-01 18:00,59.92522046,-1.3529806,64864,New Year's Day,0,1,0,0,0,1,1
2019-01-01 19:00,61.29779541,-1.689400353,64974,New Year's Day,0,1,0,0,0,1,1
2019-01-01 20:00,60.4707231,-2.008218695,64581,New Year's Day,0,1,0,0,0,1,1
2019-01-01 21:00,58.47601411,-2.316684303,64133,New Year's Day,0,1,0,0,0,1,1
2019-01-01 22:00,59.27151675,-2.818606702,64761,New Year's Day,0,1,0,0,0,1,1
2019-01-01 23:00,59.88597884,-3.280564374,65493,New Year's Day,0,1,0,0,0,1,1
2019-01-02 0:00,61.01869489,-3.72526455,63114,,1,0,0,0,0,1,0
2019-01-02 1:00,62.77178131,-4.28473545,60989,,1,0,0,0,0,1,0
2019-01-02 2:00,61.65758377,-4.632804233,59842,,1,0,0,0,0,1,0
2019-01-02 3:00,64.0154321,-5.094409171,59315,,1,0,0,0,0,1,0
2019-01-02 4:00,65.17231041,-5.55537037,59987,,1,0,0,0,0,1,0
2019-01-02 5:00,65.63156966,-5.835414462,61617,,1,0,0,0,0,1,0
2019-01-02 6:00,67.49338624,-6.071992945,64819,,1,0,0,0,0,1,0
2019-01-02 7:00,70.20132275,-6.329294533,70610,,1,0,0,0,0,1,0
2019-01-02 8:00,71.97821869,-6.374435626,79334,,1,0,0,0,0,1,0
2019-01-02 9:00,65.94858907,-5.109382716,82437,,1,0,0,0,0,1,0
2019-01-02 10:00,58.30714286,-3.172231041,82393,,1,0,0,0,0,1,0
2019-01-02 11:00,50.3542328,-1.438994709,80942,,1,0,0,0,0,1,0
2019-01-02 12:00,46.58068783,-0.405705467,76411,,1,0,0,0,0,1,0
2019-01-02 13:00,41.87407407,0.354100529,78770,,1,0,0,0,0,1,0
2019-01-02 14:00,39.44638448,1.033959436,79583,,1,0,0,0,0,1,0
2019-01-02 15:00,38.86349206,1.21313933,79941,,1,0,0,0,0,1,0
2019-01-02 16:00,39.30379189,0.950767196,81515,,1,0,0,0,0,1,0
2019-01-02 17:00,43.67910053,-0.047275132,81258,,1,0,0,0,0,1,0
2019-01-02 18:00,48.70811287,-1.332460317,79030,,1,0,0,0,0,1,0
2019-01-02 19:00,52.84850088,-2.093880071,76841,,1,0,0,0,0,1,0
